nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
mes-aides-ui,betagouv,GitHub,https://github.com/betagouv/mes-aides-ui,Le simulateur global des prestations sociales françaises,False,2014-04-03T10:42:21Z,2019-02-04T11:10:01Z,https://mes-aides.gouv.fr/,53,13,,115,JavaScript,
mdph,betagouv,GitHub,https://github.com/betagouv/mdph,Faciliter les demandes de compensation du handicap auprès des MDPH,False,2014-07-02T13:47:21Z,2018-09-06T13:17:25Z,https://mdphenligne.cnsa.fr,9,4,,7,JavaScript,
openfisca-france,betagouv,GitHub,https://github.com/betagouv/openfisca-france,  French specific module for OpenFisca,True,2014-07-23T08:10:22Z,2018-11-05T13:57:20Z,,4,1,,12,Python,
mes-aides-api,betagouv,GitHub,https://github.com/betagouv/mes-aides-api,A mapping interface between the mes-aides user interface and the OpenFisca simulation engine.,False,2014-09-01T11:45:44Z,2018-07-31T14:16:02Z,https://mes-aides.gouv.fr,21,4,,11,JavaScript,
dds-cross-simulator,betagouv,GitHub,https://github.com/betagouv/dds-cross-simulator,Use the test acceptance format from DDS to use simulators from other administrations.,False,2014-10-29T16:20:56Z,2017-12-12T10:45:01Z,,0,0,,0,JavaScript,
paie-api,betagouv,GitHub,https://github.com/betagouv/paie-api,The Paie API calculates all the taxes applicable to a salary in France.,False,2014-11-06T16:03:45Z,2017-07-16T13:58:22Z,paie.sgmap.fr/api/doc,4,1,,0,JavaScript,
cerfa-form-filler,betagouv,GitHub,https://github.com/betagouv/cerfa-form-filler,[DEPRECATED] Un remplisseur de formulaires PDF Cerfa pour les aides sociales françaises,False,2014-11-07T10:08:35Z,2016-09-22T07:22:15Z,,2,0,GNU Affero General Public License v3.0,0,Java,
paie-www,betagouv,GitHub,https://github.com/betagouv/paie-www,Page d'accueil du simulateur de coût d'embauche,False,2014-11-21T16:11:04Z,2016-12-14T14:24:04Z,https://embauche.beta.gouv.fr,0,0,,9,CSS,
allegement-fillon,betagouv,GitHub,https://github.com/betagouv/allegement-fillon,Un calculateur de réduction Fillon basé sur l'API Paie,False,2014-11-25T13:39:01Z,2019-01-28T15:19:42Z,,0,0,,0,CSS,
paie-editor,betagouv,GitHub,https://github.com/betagouv/paie-editor,Un éditeur de fiches de paie basé sur l'API Paie,False,2014-12-09T22:35:59Z,2015-01-27T17:50:50Z,paie.meteor.com,1,1,,0,JavaScript,
OpenLawEditor,betagouv,GitHub,https://github.com/betagouv/OpenLawEditor,Éditeur collaboratif d'un modèle ouvert de fiche de paie,False,2014-12-15T07:35:13Z,2015-02-03T10:41:10Z,loi.meteor.com,0,0,,0,JavaScript,
openfisca-web-api,betagouv,GitHub,https://github.com/betagouv/openfisca-web-api,Web API for OpenFisca -- a versatile microsimulation free software,True,2014-12-30T14:11:42Z,2016-01-25T23:11:26Z,,0,0,GNU Affero General Public License v3.0,0,Python,
openfisca-core,betagouv,GitHub,https://github.com/betagouv/openfisca-core,"Core module of OpenFisca, with neither GUI nor countries-specific code & data",True,2014-12-30T14:16:18Z,2016-02-25T16:46:46Z,,1,0,GNU Affero General Public License v3.0,0,Python,
fiches-de-banc,betagouv,GitHub,https://github.com/betagouv/fiches-de-banc,[Abandonné] Émettre collaborativement des avis sur les amendements déposés à l'Assemblée Nationale.,False,2015-01-15T18:56:08Z,2018-03-09T22:21:14Z,https://beta.gouv.fr/startup/fiches-de-banc.html,6,2,,4,JavaScript,
ludwig-ui,betagouv,GitHub,https://github.com/betagouv/ludwig-ui,"User interface for Ludwig, the collaborative testing tool",False,2015-01-22T16:31:07Z,2017-12-01T09:10:05Z,https://mes-aides.gouv.fr/tests,1,1,,9,JavaScript,
ludwig-api,betagouv,GitHub,https://github.com/betagouv/ludwig-api,Ludwig REST API,False,2015-01-27T16:40:22Z,2018-11-22T16:20:59Z,,0,1,,8,JavaScript,
impact-tests,betagouv,GitHub,https://github.com/betagouv/impact-tests,Module ludwig pour projet Impact,False,2015-02-04T16:12:08Z,2017-12-12T10:47:47Z,,0,0,,0,JavaScript,
cout-embauche,betagouv,GitHub,https://github.com/betagouv/cout-embauche,Estimateur de prix d'embauche - Simulate the price of hiring in France,False,2015-02-06T14:13:43Z,2018-08-23T16:11:57Z,,45,8,,43,JavaScript,"economy,france,simulation,social-security,taxes"
