nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
toolbox,MTES-MCT,GitHub,https://github.com/MTES-MCT/toolbox,boite à outils ,False,2016-09-20T21:04:15Z,2018-01-04T12:42:43Z,,1,0,,0,R,
trashadvisor,MTES-MCT,GitHub,https://github.com/MTES-MCT/trashadvisor,,False,2016-09-28T16:07:27Z,2016-09-28T16:10:43Z,,0,2,,2,PHP,
invasivalerte,MTES-MCT,GitHub,https://github.com/MTES-MCT/invasivalerte,Détectons les espèces envahissantes ensemble !,False,2016-11-22T09:54:38Z,2016-11-22T10:00:56Z,http://www.invasivalerte.fr,0,1,,0,,
dataroom,MTES-MCT,GitHub,https://github.com/MTES-MCT/dataroom,Inventaire des données détenues par le MTES & MCTCRT,False,2017-03-23T23:19:25Z,2019-06-08T16:42:40Z,https://mtes-mct.github.io/dataroom/,9,3,,0,JavaScript,"css,js,mustache,semantic-ui"
udata-doc,MTES-MCT,GitHub,https://github.com/MTES-MCT/udata-doc,Documentation d'installation et paramétrage de udata au MTES,False,2017-04-25T12:18:33Z,2018-10-19T14:50:47Z,,3,0,,0,SAS,"curl,markdown,r,sas,udata"
udata-gouvfr-ecologie,MTES-MCT,GitHub,https://github.com/MTES-MCT/udata-gouvfr-ecologie,Skin and customization for the French opendata portal based on uData.,True,2017-04-29T19:59:17Z,2017-04-29T19:59:51Z,https://www.data.gouv.fr/fr/,0,0,,0,HTML,
numerique,MTES-MCT,GitHub,https://github.com/MTES-MCT/numerique,,False,2018-01-23T13:16:45Z,2019-03-11T16:38:08Z,https://mtes-mct.github.io/numerique/,10,11,,6,CSS,
adock-api,MTES-MCT,GitHub,https://github.com/MTES-MCT/adock-api,API of A Dock,False,2018-02-27T17:35:55Z,2019-06-04T23:02:10Z,https://adock.beta.gouv.fr,2,0,GNU Affero General Public License v3.0,0,Python,"django,postgresql"
geostatis,MTES-MCT,GitHub,https://github.com/MTES-MCT/geostatis,Outil de construction de cartes pour des données statistiques,False,2018-02-28T13:00:40Z,2018-05-26T12:41:31Z,https://mtes-mct.github.io/geostatis/,2,3,,0,JavaScript,"carte,css,data-visualization,geostats,html,php"
locatio,MTES-MCT,GitHub,https://github.com/MTES-MCT/locatio,,False,2018-02-28T21:36:35Z,2019-05-26T11:40:38Z,,2,1,,1,HTML,
adock-ui,MTES-MCT,GitHub,https://github.com/MTES-MCT/adock-ui,User interface of A Dock,False,2018-03-01T17:34:59Z,2019-06-04T23:02:14Z,https://adock.beta.gouv.fr,3,1,GNU Affero General Public License v3.0,0,Vue,"axios,jest,pug,vuejs2,vuetifyjs"
adock-ansible,MTES-MCT,GitHub,https://github.com/MTES-MCT/adock-ansible,Déploiement d'un serveur dédié pour A Dock,False,2018-03-05T13:45:16Z,2019-06-04T23:14:27Z,,1,0,,0,Shell,ansible
aides-territoires,MTES-MCT,GitHub,https://github.com/MTES-MCT/aides-territoires,Identifiez en quelques clics toutes les aides disponibles sur votre territoire pour vos projets d'aménagement durable,False,2018-03-07T22:19:11Z,2019-06-19T13:18:10Z,https://aides-territoires.beta.gouv.fr/,4,3,,0,Python,"ansible,bootstrap,django,lxc,pytest,python,sass"
camino-landingpage,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-landingpage,Page provisoire d'information sur le projet Camino,False,2018-03-12T23:51:16Z,2018-10-09T08:24:36Z,https://mtes-mct.github.io/camino-landingpage/,0,1,,0,CSS,"github-pages,landing-page,mailchimp,webpack"
aeris,MTES-MCT,GitHub,https://github.com/MTES-MCT/aeris,Faciliter la déclaration des rejets dans l'air,False,2018-04-12T11:25:57Z,2018-06-27T14:44:12Z,,0,1,MIT License,0,JavaScript,
assec,MTES-MCT,GitHub,https://github.com/MTES-MCT/assec,🚰Optimiser la réponse collective du monde agricole et des services de l'État au problème de pénurie d'eau en période de sécheresse,False,2018-04-12T18:02:29Z,2018-06-22T08:59:50Z,http://assec.beta.gouv.fr,0,1,,0,JavaScript,"docker,graphql,mongodb,react"
camino-api,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-api,"API de Camino, le cadastre minier numérique ouvert",False,2018-04-26T17:04:44Z,2019-06-19T12:54:04Z,http://api.camino.beta.gouv.fr,1,6,GNU Affero General Public License v3.0,2,JavaScript,"docker,express-graphql,expressjs,graphql,knexjs,objectionjs,postgresql"
secmar-documentation,MTES-MCT,GitHub,https://github.com/MTES-MCT/secmar-documentation,Documentation du jeu de données open data SECMAR (version grand public),False,2018-05-22T15:22:42Z,2019-06-10T10:01:10Z,https://mtes-mct.github.io/secmar-documentation/,1,0,MIT License,0,HTML,"datagouvfr,direction-affaires-maritimes,documentation,eig-2018,entrepreneur-interet-general,mtes,opendata,predisauvetage,secmar"
camino-flux,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-flux,"Flux géo de Camino, le cadastre minier numérique ouvert",False,2018-06-01T09:53:58Z,2019-06-19T13:11:19Z,https://flux.camino.beta.gouv.fr,0,0,GNU Affero General Public License v3.0,0,JavaScript,"docker,expressjs,graphql-client,nodejs"
camino-imports-geojson,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-imports-geojson,,False,2018-06-01T10:04:31Z,2019-02-27T13:04:59Z,,0,1,,0,JavaScript,
camino-ui,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-ui,"Interface web de Camino, le cadastre minier numérique ouvert",False,2018-06-01T15:57:19Z,2019-06-19T13:10:23Z,http://camino.beta.gouv.fr,3,8,GNU Affero General Public License v3.0,3,Vue,"apollo-client,babel,docker,graphql,leafletjs,postcss,vuejs,vuex"
parcours-r,MTES-MCT,GitHub,https://github.com/MTES-MCT/parcours-r,Valise pédagogique pour la formation à R,False,2018-06-13T07:23:35Z,2019-06-18T21:04:07Z,https://mtes-mct.github.io/parcours-r/,17,5,,3,HTML,"data,formation,r,shiny,statistics"
camino-imports-postgres,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-imports-postgres,,False,2018-06-14T09:05:56Z,2018-06-14T09:07:21Z,,0,0,,0,JavaScript,
secmar-data,MTES-MCT,GitHub,https://github.com/MTES-MCT/secmar-data,Jeux de données pour la base de données SECMAR disponible en open data,False,2018-06-28T12:05:56Z,2018-11-13T13:09:20Z,https://www.data.gouv.fr/fr/datasets/operations-coordonnees-par-les-cross/,1,0,Other,0,,"datagouvfr,direction-affaires-maritimes,eig-2018,entrepreneur-interet-general,mtes,opendata,predisauvetage,secmar"
camino-imports-spreadsheets,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-imports-spreadsheets,,False,2018-07-05T07:36:09Z,2018-08-17T17:46:10Z,,0,0,,0,JavaScript,
choisir-une-licence,MTES-MCT,GitHub,https://github.com/MTES-MCT/choisir-une-licence,,False,2018-07-17T09:43:52Z,2018-07-17T09:44:31Z,,0,0,,1,,
enr-and-ground,MTES-MCT,GitHub,https://github.com/MTES-MCT/enr-and-ground,,False,2018-07-19T10:09:47Z,2018-07-19T10:09:49Z,,0,1,GNU General Public License v3.0,1,,
camino-imports-spreadsheet-jorf,MTES-MCT,GitHub,https://github.com/MTES-MCT/camino-imports-spreadsheet-jorf,,False,2018-08-10T10:47:43Z,2019-05-17T11:11:46Z,,0,0,,0,JavaScript,
filharmonic-ui,MTES-MCT,GitHub,https://github.com/MTES-MCT/filharmonic-ui,User Interface of Fil'Harmonic,False,2018-11-14T16:44:11Z,2019-06-09T14:02:23Z,https://filharmonic.beta.gouv.fr,1,1,GNU Affero General Public License v3.0,0,Vue,
