nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
applitutoriel-js,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/applitutoriel-js,Partie nodejs de l'application de démonstration applitutoriel,False,2015-11-25T10:37:37Z,2019-02-19T06:20:01Z,,2,4,Other,0,TypeScript,
applitutoriel-service,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/applitutoriel-service,Partie service de l'application de démonstration applitutoriel ,False,2015-11-25T10:57:37Z,2018-08-09T14:43:39Z,,0,0,Other,0,Java,
hornet-js,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-js,"Framework de développement basé sur typescript, nodejs, reactjs, ...",False,2015-11-25T12:01:10Z,2019-07-19T15:16:14Z,,12,4,Other,0,TypeScript,
hornet-js-builder,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-js-builder,Outils de construction des applications et modules hornet-js,False,2015-11-25T12:01:48Z,2019-07-22T09:33:19Z,,1,0,Other,1,JavaScript,
hornet-service,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-service,Framework de développement BackEnd pour la partie service  ,False,2015-11-25T12:02:59Z,2018-08-09T13:34:27Z,,0,1,Other,0,Java,
archetype-hornet-service,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/archetype-hornet-service,Template de création de la partie service de Hornet,False,2015-11-25T12:03:28Z,2018-08-09T15:13:34Z,,0,0,Other,0,Java,
generator-hornet-js,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/generator-hornet-js,Template de création de la partie nodejs de Hornet,False,2015-11-25T12:03:46Z,2019-07-22T08:08:48Z,,0,1,Other,0,TypeScript,
hornet-themes-intranet,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-themes-intranet,Thème par défaut des applications Hornet,False,2015-11-25T12:04:23Z,2019-03-27T07:40:55Z,,0,1,Other,0,CSS,
tomcat8-instance,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/tomcat8-instance,Script de création multi-instance tomcat pour Debian,False,2015-11-25T12:05:11Z,2016-02-23T13:17:42Z,,0,1,Other,0,Shell,
hornet-js-man,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-js-man,Documentation Markdown de Hornet,False,2015-11-25T12:28:01Z,2019-07-22T09:27:57Z,,0,0,Other,0,Shell,
hornet-js-gc-monitor,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-js-gc-monitor, Métrologie nodejs des applications Hornet.js,False,2016-02-23T13:25:44Z,2018-11-29T14:00:07Z,,1,0,Other,0,C++,
applitutoriel-modules,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/applitutoriel-modules,Application de démonstration du framework Hornet.js ,False,2017-10-31T12:53:16Z,2019-07-22T09:36:17Z,,0,3,Other,1,TSQL,"typescript,typescript2"
generator-hornet-js-lite,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/generator-hornet-js-lite,Template de création de la partie nodejs de Hornet Lite,False,2017-10-31T13:25:29Z,2019-07-22T08:16:29Z,,0,1,Other,0,TypeScript,
generator-hornet-js-lite-batch,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/generator-hornet-js-lite-batch,Template de création de la partie nodejs de Hornet Lite Batch,False,2017-10-31T13:26:03Z,2019-07-22T08:22:02Z,,0,0,Other,0,TSQL,
applitutoriel-online,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/applitutoriel-online,,False,2017-11-02T07:35:42Z,2019-07-22T14:54:11Z,https://diplomatiegouvfr.github.io/applitutoriel-online,0,1,Other,0,HTML,
geststock,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/geststock,,False,2017-11-22T15:05:30Z,2017-11-22T17:33:14Z,,0,0,,0,PHP,
hornet-showroom-online,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-showroom-online,,False,2017-12-18T15:28:54Z,2019-07-22T08:30:07Z,https://diplomatiegouvfr.github.io/hornet-showroom-online/,0,1,,0,CSS,
hornet-showroom,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-showroom,,False,2017-12-18T15:29:12Z,2019-07-22T08:56:01Z,,0,0,,0,CSS,
hornet-generator,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-generator,Générateur Hornet Papyrus,False,2018-09-19T09:27:58Z,2018-11-14T13:26:07Z,,0,0,Other,0,Xtend,
hornet-js-formation,diplomatiegouvfr,GitHub,https://github.com/diplomatiegouvfr/hornet-js-formation,support formation de la filière HornetJs,False,2019-03-28T08:19:09Z,2019-03-28T11:22:06Z,,0,0,,0,,
